"D","K_A_B_1","k_omega_B_1","kA_1","kB_max_1","mu_max_1","n_A_B_1","n_omega","omega_max","N_1"
"D",1,0.17504187284714,-0.0146656843689273,0.177351437146031,-0.0825961837187046,-0.0222669055935782,-0.00983110595542424,-0.0661386287237554,0.0892778438556184,0.0980269627167589
"K_A_B_1",0.17504187284714,1,-0.226144962695715,0.0477319211749003,0.0260745083170114,0.0361923121124977,-0.140969119880006,0.147331650815952,-0.0368669709182242,-0.0944405690448821
"k_omega_B_1",-0.0146656843689273,-0.226144962695715,1,-0.0118631044280538,-0.108870307351468,0.0129650954928521,-0.0431092392213922,0.0524576536332229,-0.0618342371956572,0.0458300097605505
"kA_1",0.177351437146031,0.0477319211749003,-0.0118631044280538,1,0.0401026213500787,-0.127271228895222,-0.0453000165599191,-0.0643204292069731,-0.120824589903805,0.0105180737167548
"kB_max_1",-0.0825961837187046,0.0260745083170114,-0.108870307351468,0.0401026213500787,1,0.124368664729404,-0.00909134559822171,0.144275997478969,0.0853476190387065,-0.103784322138164
"mu_max_1",-0.0222669055935782,0.0361923121124977,0.0129650954928521,-0.127271228895222,0.124368664729404,1,-0.0153298645313758,0.148985350434382,-0.0609082247033385,-0.0155412727105254
"n_A_B_1",-0.00983110595542424,-0.140969119880006,-0.0431092392213922,-0.0453000165599191,-0.00909134559822171,-0.0153298645313758,1,0.0298333720452178,0.0769488463097879,0.127842898385412
"n_omega",-0.0661386287237554,0.147331650815952,0.0524576536332229,-0.0643204292069731,0.144275997478969,0.148985350434382,0.0298333720452178,1,-0.209789950258486,-0.0864938546420052
"omega_max",0.0892778438556184,-0.0368669709182242,-0.0618342371956572,-0.120824589903805,0.0853476190387065,-0.0609082247033385,0.0769488463097879,-0.209789950258486,1,0.13964671330922
"N_1",0.0980269627167589,-0.0944405690448821,0.0458300097605505,0.0105180737167548,-0.103784322138164,-0.0155412727105254,0.127842898385412,-0.0864938546420052,0.13964671330922,1
