"sim_idx","batch_idx","population_num","exp_num","model_ref","Accepted","integ_error","d1","d2","d3"
0,0,1,"2",2,True,"",0.0,8.43769498715119e-15,0.500181419478692
1,0,1,"2",1,True,"",0.0,9.547918011776346e-15,0.5208653917314152
2,0,1,"2",0,True,"",0.0,2.886579864025407e-15,0.5002901359468095
3,0,1,"2",2,True,"",0.0,1.1102230246251565e-15,0.5000272471916873
4,0,1,"2",1,True,"",0.0,5.995204332975845e-15,0.5012837960294242
5,0,1,"2",1,True,"",0.0,2.220446049250313e-16,0.5003219761559943
6,0,1,"2",0,True,"",0.0,5.551115123125783e-15,0.5025872981586671
7,0,1,"2",0,True,"",0.0,8.215650382226158e-15,0.5010870852068772
8,0,1,"2",2,True,"",0.0,5.10702591327572e-15,0.5003741671057577
9,0,1,"2",1,True,"",2.297027013042907e-10,3.2349594287775994e-08,0.5000116891767892
0,1,1,"2",0,True,"",0.0,2.55351295663786e-15,1.4704444087943283
1,1,1,"2",0,True,"",0.0,7.549516567451064e-15,0.5001133208285073
2,1,1,"2",1,True,"",0.0,2.4424906541753444e-15,0.5001650281709209
3,1,1,"2",2,True,"",0.0,1.021405182655144e-14,0.5001660607365696
4,1,1,"2",1,True,"",0.0,6.661338147750939e-15,0.5025322963074477
5,1,1,"2",0,True,"",0.0,2.220446049250313e-15,0.5000455727007029
6,1,1,"2",1,True,"",0.0,3.1086244689504383e-15,0.5002505655255288
7,1,1,"2",2,True,"",0.0,2.6645352591003757e-15,0.5000943246421484
8,1,1,"2",1,True,"",0.0,3.774758283725532e-15,0.5003711241346067
9,1,1,"2",1,True,"",0.0,2.6645352591003757e-15,0.5002363932557692
0,2,1,"2",1,True,"",0.0,7.327471962526033e-15,0.502208177903648
1,2,1,"2",2,True,"",0.0,7.327471962526033e-15,0.5003142307784472
2,2,1,"2",0,True,"",0.0,3.774758283725532e-15,0.5002282060138785
3,2,1,"2",1,True,"",0.0,2.886579864025407e-15,0.5009792001953214
4,2,1,"2",2,True,"",0.0,2.220446049250313e-15,0.5000731423583064
5,2,1,"2",2,True,"",0.0,5.329070518200751e-15,0.5005783370578918
6,2,1,"2",2,True,"",0.0,3.3306690738754696e-15,0.5000483554704509
7,2,1,"2",2,True,"",0.0,2.4424906541753444e-15,0.5007053886515604
8,2,1,"2",0,True,"",0.0,2.886579864025407e-15,0.5000804682521782
9,2,1,"2",1,True,"",0.0,7.327471962526033e-15,0.5005781012479794
0,3,1,"2",1,True,"",0.0,4.218847493575595e-15,0.5012163914939185
1,3,1,"2",1,True,"",0.0,3.1086244689504383e-15,0.5971947884088514
2,3,1,"2",1,True,"",0.0,3.9968028886505635e-15,0.5001466235853143
3,3,1,"2",2,True,"",0.0,5.995204332975845e-15,0.5000577577023634
4,3,1,"2",0,True,"",0.0,7.771561172376096e-15,0.5000892443863116
5,3,1,"2",1,True,"",0.0,7.771561172376096e-15,0.5004138694097442
6,3,1,"2",2,True,"",0.0,6.217248937900877e-15,0.5002990846835035
7,3,1,"2",0,True,"",0.0,0.0,0.5002591616216948
8,3,1,"2",1,True,"",0.0,2.886579864025407e-15,0.5066033555444102
9,3,1,"2",1,True,"",0.0,1.9984014443252818e-15,1.0024983238272218
0,4,1,"2",2,True,"",0.0,5.329070518200751e-15,0.5003739434939004
1,4,1,"2",2,True,"",0.0,5.10702591327572e-15,0.5004247595105504
2,4,1,"2",2,True,"",0.0,8.881784197001252e-16,0.5006345532223216
3,4,1,"2",0,True,"",0.0,4.440892098500626e-15,0.5001712476760859
4,4,1,"2",2,True,"",0.0,1.7763568394002505e-15,0.5002825448952561
5,4,1,"2",1,True,"",0.0,5.8197929073719644e-15,0.504553071498291
6,4,1,"2",1,True,"",0.0,5.551115123125783e-17,8.429692889325638
7,4,1,"2",1,True,"",0.0,4.6629367034256575e-15,0.5216240675855273
8,4,1,"2",0,True,"",0.0,3.552713678800501e-15,0.5006526984410804
9,4,1,"2",1,True,"",0.0,8.43769498715119e-15,0.5011252197456744
0,5,1,"2",0,True,"",0.0,7.327471962526033e-15,0.5001598395443153
1,5,1,"2",1,True,"",0.0,4.6629367034256575e-15,0.5008793578853235
2,5,1,"2",2,True,"",0.0,4.884981308350689e-15,0.5000574689853775
3,5,1,"2",1,True,"",5.551115123125783e-17,7.860269245766491e-17,3.7165237777981153
4,5,1,"2",0,True,"",0.0,7.105427357601002e-15,0.5003595169054162
5,5,1,"2",0,True,"",0.0,4.884981308350689e-15,0.5001469471401361
6,5,1,"2",2,True,"",0.0,6.661338147750939e-16,0.5001696919858483
7,5,1,"2",0,True,"",0.0,3.3306690738754696e-15,0.500213006853356
8,5,1,"2",1,True,"",0.0,8.881784197001252e-16,0.5130147159830577
9,5,1,"2",1,True,"",0.0,2.220446049250313e-15,0.5000716067524311
0,6,1,"2",0,True,"",0.0,3.3306690738754696e-15,0.5062431399900927
1,6,1,"2",1,True,"",0.0,9.325873406851315e-15,0.503598180116111
2,6,1,"2",2,True,"",0.0,5.551115123125783e-15,0.5002856663708454
3,6,1,"2",0,True,"",0.0,6.217248937900877e-15,0.5006581186519765
4,6,1,"2",2,True,"",0.0,9.769962616701378e-15,0.5001938811246831
6,6,1,"2",2,True,"",0.0,5.995204332975845e-15,0.5001099102597967
7,6,1,"2",1,True,"",0.0,4.884981308350689e-15,0.5002056574620668
8,6,1,"2",1,True,"",0.0,9.769962616701378e-15,0.5002685206225203
9,6,1,"2",1,True,"",0.0,0.0,0.5016555837822533
0,7,1,"2",1,True,"",0.0,8.881784197001252e-16,0.6103264724042557
1,7,1,"2",2,True,"",0.0,8.659739592076221e-15,0.5002172485010359
2,7,1,"2",2,True,"",0.0,6.661338147750939e-16,0.5002404799912551
3,7,1,"2",1,True,"",0.0,6.661338147750939e-16,0.5001691072311473
4,7,1,"2",2,True,"",0.0,2.220446049250313e-15,0.5003257500081689
5,7,1,"2",0,True,"",0.0,3.774758283725532e-15,0.5001288321446796
6,7,1,"2",1,True,"",0.0,2.6645352591003757e-15,0.881146140077635
7,7,1,"2",1,True,"",0.0,0.0,0.5578845928514135
